Come quickly!	Przyjdź szybko!
Cancer can be cured if discovered in time.	Rak jest uleczalny, jeśli jest wcześnie wykryty.
This is creepy.	To jest zatrważające.
She seldom eats breakfast.	Ona rzadko je śniadanie.
Politicians keep lying.	Politycy dalej kłamią.
What's that stain?	Co to za plama?
His success is in question.	Jego sukces nie podlega dyskusji.
They wouldn't tell me how to do it.	Nie powiedzieliby mi, jak to zrobić.
I aimed my gun at the target.	Wycelowałem swój pistolet w tarczę.
I didn't know Tom was in Boston.	Nie wiedziałem, że Tom jest w Bostonie.
I've seen you before.	Widziałem cię już.
It isn't like I don't want to do it.	To nie tak, że nie chcę tego zrobić.
Tom enjoys taking a nap in the early afternoon.	Tom cieszy się z drzemki wczesnym popołudniem.
I think you should rest.	Myślę, że powinieneś odpocząć.
Goodbye.	Do widzenia.
After using the knife, please be sure to put it back where it was.	Po użyciu noża proszę się upewnić, że został odłożony tam, gdzie wcześniej był.
Some people don't eat meat.	Niektórzy ludzie nie jedzą mięsa.
There's not enough room in here for both Tom and Mary.	Tu nie ma dość miejsca jednocześnie dla Toma i Marii.
Everyone shouted for joy when they heard the news.	Wszyscy krzyczeli z radości, kiedy usłyszeli wiadomość.
It's midnight already.	Jest już północ.
Tom gave a cry of dismay.	Tom wydał z siebie krzyk przerażenia.
I will warn him.	Ostrzegę go.
That's no exaggeration.	To nie przesada.
He's a tennis player.	On jest tenisistą.
He found out the secret.	Poznał tajemnicę.
Tom told me you liked going to concerts.	Tom powiedział mi, że lubisz chodzić na koncerty.
There's an old cherry tree in the garden.	W ogrodzie jest stara wiśnia.
You can use my car if you like.	Jeśli chcesz, to możesz wziąć mój samochód.
I could hardly hear him.	Prawie go nie słyszałem.
Do you think Tom knows what happened?	Myślisz, że Tom wie, co się stało?
She slapped his face.	Uderzyła go w twarz.
You're Tom's wife, aren't you?	Jesteś żoną Toma, prawda?
I want Tom to understand why he can't live with us.	Chce żeby Tom zrozumiał że dlaczego on nie może żyć w z nami.
You're poor.	Jesteś biedny.
I can't believe that you really sold that junk for such a high price.	Nie do wiary, że naprawdę sprzedałeś ten śmieć za taką cenę.
You can use my car, if you want to.	Jak chcesz, możesz używać mój samochód.
Which one will you choose?	Który wybierzesz?
Judging from his expression, he is not telling the truth.	Sądząc po jego wyrazie twarzy, nie mówi prawdy.
I wish I could figure out how to finish this project without asking for help.	Chciałbym znać sposób, jak skończyć ten projekt bez proszenia nikogo o pomoc.
I want to go to outer space.	Chciałbym polecieć w kosmos.
Could we have a table in the smoking section?	Czy moglibyśmy dostać stolik w części dla palących?
Do you happen to know of a cheap hotel near here?	Może przypadkiem wiesz, gdzie jest niedaleko jakiś tani hotel?
Do you like French wines?	Czy lubisz francuskie wino?
He was paid 10,000 dollars.	Zapłacono mu 1000 dolarów.
I anticipated this.	Przewidziałem to.
This will save you a lot of trouble.	To zaoszczędzi ci sporo kłopotów.
We were just kidding around.	Po prostu się wygłupialiśmy.
You have to turn in your report on Monday.	Musisz oddać swój raport w poniedziałek.
Tom won't let anyone else come near the barbecue.	Tom nie dopuszcza nikogo do grilla.
I already know who you are.	Już wiem kim jesteś.
I met her late in the evening.	Spotkałem ją późno wieczorem.
Do you think they're dead?	Czy myślisz, że oni nie żyją?
Our cat's fur has lost its luster.	Sierść naszego kota straciła połysk.
Are you waiting for somebody?	Czekasz na kogoś?
Why don't you come visit us?	Dlaczego nas nie odwiedzisz?
Tom's grandfather couldn't read.	Dziadek Toma nie potrafił czytać.
Tom, have you eaten yet?	Jadłeś już, Tom?
You're comparing apples and oranges.	Co ma piernik do wiatraka?
That psychiatrist specialized in eating disorders.	Ten psychiatra specjalizuje się w kłopotach z jedzeniem.
Tom washed himself.	Tom umył się.
The Sahara Desert is almost as large as Europe.	Sahara jest prawie tej samej wielkości co Europa.
I'm not afraid to fail.	Nie boję się porażki.
I'm the only other person who can do that.	Jestem jedyną osobą, która może to robić.
Don't worry, I'm going to help you.	Nie martw się, pomogę ci.
Tom's cat is missing.	Brakuje kota Toma.
Our budget is very limited.	Nasz budżet jest bardzo ograniczony.
I work at the supermarket on the weekends.	W weekendy pracuję w supermarkecie.
Tom went to wash his hands.	Tom poszedł umyć ręce.
Since he's busy, he can't meet you.	Ponieważ jest zajęty, nie może się z Tobą spotkać.
What's your phone number?	Jaki jest twój numer telefonu?
Tom admitted he had no idea where his wife was.	Tom przyznał, że nie ma pojęcia, gdzie jest jego żona.
Do you want to be on my team again?	Chcesz być znowu w mojej drużynie?
The interview was videotaped.	Rozmowa kwalifikacyjna była nagrana na wideo.
You seem anxious.	Wydajesz się niespokojny.
You don't really know me.	Naprawdę mnie nie znasz.
Tom looked out the window and saw Mary's car in the parking lot.	Tom wyjrzał przez okno i zobaczył samochód Mary na parkingu.
What's your favorite gadget?	Jaki jest twój ulubiony gadżet?
I missed you.	Tęskniłem za tobą.
Tom asked about the meeting.	Tom poprosił o spotkanie.
You're experienced.	Masz doświadczenie.
It's very easy to sound natural in your own native language, and very easy to sound unnatural in your non-native language.	Jest bardzo łatwo brzmieć naturalnie w swoim ojczystym języku i bardzo łatwo brzmieć nienaturalnie w obcym.
Why are you always laughing?	Dlaczego zawsze się śmiejesz?
You can't just leave.	Nie możesz tak po prostu wyjść.
He tried putting on his new shoes.	Próbował założyć swoje nowe buty.
Would you mind if we stayed here for a while?	Będziesz miał coś przeciwko, jeśli tu przez chwilę zostaniemy?
Are you ready?	Jesteście gotowi?
You do a great job.	Robisz świetną robotę.
Tom is out of work now.	Tom jest obecnie bez pracy.
I'll be back by seven, I promise.	Wrócę przed siódmą, obiecuję.
Do you really want to buy anything from Tom?	Czy naprawdę chcesz kupować cokolwiek od Toma?
We will miss you terribly if you leave Japan.	Będziemy okropnie tęsknić jeżeli opuścisz Japonię.
Swimming is easy.	Pływanie jest łatwe.
Tom would like nothing more than to tell Mary everything.	Tom nie chce niczego innego, jak tylko powiedzieć wszystko Mary.
Many kinds of birds live in Japan.	W Japonii żyje wiele gatunków ptaków.
Keep down.	Nie wstawaj.
Tom won't apologize.	Tom nie przeprosi.
We're tempting fate.	Kusimy los.
He plays the guitar very well.	On gra bardzo dobrze na gitarze.
I shouldn't have lied.	Nie powinienem był kłamać.
Are you eating lunch?	Jesz obiad?
Tom also smiled.	Tom śmiał się też.
Tom arched one eyebrow.	Tom uniósł brew.
Three people were wounded.	Troje ludzi było rannych.
The time will come when he will regret this.	Przyjdzie czas, że będziesz tego żałował.
Antibiotics can't kill viruses.	Antybiotyki nie zabijają wirusów.
I gave the boy a book.	Dałam chłopcu książkę.
I'm a man.	Jestem mężczyzną.
I don't think this is going to be much fun.	To raczej nie będzie szczególnie zabawne.
We're having breakfast.	Jemy śniadanie.
We're not mad.	Nie zwariowaliśmy.
The doctor insisted that he stay in bed.	Lekarz nalegał, by leżał w łóżku.
It was a beautiful sunny day.	Był piękny, słoneczny dzień.
The company issued a press release.	Ta firma wydała oświadczenie dla prasy.
I don't have anybody.	Nie mam nikogo.
I suspect that Tom doesn't really enjoy doing that by himself.	Podejrzewam, że Tom tak naprawdę nie lubi sam tego robić.
When did the children eat dinner?	Kiedy dzieci zjadły obiad?
I thought I saw something out there.	Myślałem, że coś tam widzisz.
Do you love me?	Czy mnie kochasz?
Summer has ended.	Lato się skończyło.
I've got to go, Tom.	Muszę już iść, Tom.
I don't want to talk about music.	Nie chcę rozmawiać o muzyce.
I'm addicted.	Jestem uzależniony.
Let's just keep this our little secret.	Niech to będzie nasz mały sekret.
That's creepy.	To jest zatrważające.
This game is taking too long to download.	Ta gra pobiera się zbyt długo.
We're ready to help out.	Jesteśmy gotowi do pomocy.
I'm sorry I don't have my watch with me.	Przepraszam, ale nie mam zegarka.
It brings me great joy.	Raduje mnie to niezmiernie.
Would you like me to give you a ride home?	Chcesz, żebym cię podwiózł do domu?
I wonder why Tom ever wanted to marry Mary.	Zastanawiam się, jak Tom mógł chcieć kiedykolwiek poślubić Mary.
How long did you work in Boston?	Jak długo pracowałeś w Bostonie?
Who lost?	Kto przegrał?
The meeting finished thirty minutes ago.	Zebranie skończyło się pół godziny temu.
They appear to know the fact.	Wydawało się, że oni znają fakty.
What do you learn English for?	Po co uczysz się angielskiego?
Never say never.	Nigdy nie mów nigdy.
My watch has stopped.	Mój zegarek stoi.
I've already tested them.	Już ich przetestowałem.
Tom spoke.	Tom mówił.
Tom opened his mouth to interrupt.	Tom otworzył usta, żeby przerwać.
Close the gate.	Zamknij bramę.
May I ask you for your name and address?	Mogę prosić o Pana nazwisko i adres?
Tom took a cold bath.	Tom wziął zimną kąpiel.
Despite all my efforts, I will not have the report ready by Friday.	Pomimo tego że się starałem, nie będę miał gotowego raportu do piątku.
Ask me.	Spytaj mnie.
We're working on it now.	Pracujemy teraz nad tym.
As soon as we find out anything, we will contact him.	Jak tylko się czegoś dowiemy, skontaktujemy się z nim.
Please get dressed.	Proszę, ubierz się.
How many oranges did you buy?	Ile pomarańcz kupiłaś?
I bought it yesterday.	Kupiłam to wczoraj.
You really should do that yourself.	Naprawdę powinieneś zrobić to samemu.
Please stay as long as you wish.	Zostań, proszę, jak długo chcesz.
No matter how much you try to convince people that chocolate is vanilla, it'll still be chocolate, even though you may manage to convince yourself and a few others that it's vanilla.	Nieważne, jak bardzo usiłujesz przekonać ludzi, że czekolada jest wanilią, to wciąż będzie czekoladą, chociaż może ci się udać przekonać siebie i kilkoro innych, że to wanilia.
Mary is very pretty.	Mary jest bardzo ładna.
Tom knew it would happen.	Tom wiedział, że to się stanie.
I think Tom is busy.	Myślę, że Tom jest zajęty.
You're a menace.	Jesteś zagrożeniem.
Look behind you.	Spójrz za siebie.
Tom just shrugged.	Tom jedynie wzruszył ramionami.
I don't plan on being here that long.	Nie planuję być tutaj tak długo.
What does it matter?	Jakie to ma znaczenie?
It shouldn't be like that.	To nie powinno tak być.
I wonder where Tom could be.	Zastanawia mnie, gdzie Tom mógłby być.
I like the one with a white belt.	Podoba mi się ten z białym pasem.
I have just eaten lunch.	Właśnie zjadłem lunch.
I like this song.	Lubię tę piosenkę.
He climbed over the fence.	Wdrapał się na ogrodzenie.
Parents love their children.	Rodzice kochają swoje dzieci.
I have hay fever.	Mam katar sienny.
That is the book I want to read.	Tę książkę chciałbym przeczytać.
Suddenly, it started to rain.	Nagle zaczął padać deszcz.
Tom promised me he'd do that, but he didn't.	Tom obiecał, że to zrobi, ale tego nie zrobił.
You're uninsured.	Jesteś nieubezpieczony.
You're working too hard. Take it easy for a while.	Pracujesz zbyt ciężko. Odpuść sobie na jakiś czas.
We had an appointment.	Byliśmy umówieni.
Everybody made fun of me.	Wszyscy się ze mnie śmiali.
We've all become communists.	Wszyscy zostaliśmy komunistami.
I talked to her for an hour.	Rozmawiałem z nią przez godzinę.
We didn't choose Tom.	Nie wybraliśmy Toma.
Will you take it?	Weźmiesz to?
I'm a dentist.	Jestem dentystą.
I don't need to tell Tom anything.	Nie muszę nic mówić Tomowi.
Where's the dining room?	Gdzie jest jadalnia?
It seems likely Tom told the truth.	Wydaje się, że Tom powiedział prawdę.
This hotel seems to be empty.	Ten hotel wydaje się pusty.
Think globally, act locally.	Myśl globalnie, działaj lokalnie.
I didn't kiss him. He kissed me.	Ja go nie pocałowałem. To on pocałował mnie.
I don't need to go to college.	Nie muszę iść na studia.
We must pay the tax.	Musimy płacić podatek.
We'll talk in my office.	Porozmawiamy w moim biurze.
Tom became anxious.	Tom się wściekł.
The ceremony was impressive.	Ceremonia robiła wrażenie.
I paid him the money last week.	Zapłaciłem mu w zeszłym tygodniu.
Does that belong to you?	Czy to należy do Ciebie?
Every day is a gift.	Każdy dzień jest darem.
You told Tom you wanted to go with us, didn't you?	Powiedziałeś Tomowi, że chcesz z nami iść, prawda?
You don't know what Tom is like.	Nie wiesz, jaki jest Tom.
I like this striped shirt.	Lubię tę pasiastą koszulę.
I'll hurry.	Pospieszę się.
Tom wore a white shirt.	Tom miał na sobie białą koszulkę.
They tried very hard to gain an advantage over one another.	Bardzo się starali zdobyć przewagę nad sobą nawzajem.
What happened next?	Co stało się potem?
Keep running.	Biegnij dalej.
Her heart ached for the poor child.	Serce jej się ściskało ze współczucia nad tym biednym dzieckiem.
I'm pretty certain I haven't made any mistakes.	Jestem całkiem pewien, że nie zrobiłem żadnych błędów.
It's finally October.	W końcu jest październik.
Why is Tom so angry?	Czemu Tom jest taki wkurzony?
Smoking is strictly forbidden here.	Palenie jest tutaj surowo wzbronione.
Tom has kept his promise.	Tom dotrzymał obietnicy.
We're biking to the lake tomorrow.	Jedziemy jutro rowerem nad jezioro.
Water expands when it freezes.	Woda rozszerza się podczas zamarzania.
Tom hopes that he'll meet Mary this evening.	Tom ma nadzieję, że dziś wieczorem spotka się z Mary.
We're going to do that the same way we always do.	Wszystko będziemy robić jak zwykle.
The party was a success.	Impreza była sukcesem.
Are you paying together or separately?	Płacą państwo razem czy osobno?
After I graduated from college, I moved back home and lived with my parents for three years.	Po skończeniu studiów wróciłem do domu i mieszkałem trzy lata z rodzicami.
There's something going on, isn't there?	Coś się tu dzieje, prawda?
Tom's family loved Mary.	Rodzina Toma kochała Mary.
Sit down here and warm yourself.	Usiądź i zagrzej się.
What are you wearing tonight?	Co ubierasz na dzisiejszy wieczór?
Tom said that he felt a little guilty.	Tom powiedział, że czuł się trochę winny.
Where have you been all afternoon?	Gdzie byłeś całe popołudnie?
He thinks only of making money.	On myśli tylko o zarabianiu pieniędzy.
The man was ashamed of being born poor.	Ten człowiek czuł wstyd, że urodził się biedakiem.
He said, "I'm from Canada."	Powiedział: "Jestem z Kanady."
Let me introduce you to him.	Pozwól, że cię jemu przedstawię.
Did it surprise you very much?	Bardzo cię to zaskoczyło?
What time are you going to work?	O której godzinie idziesz do pracy?
If you eat too much, you'll become fat.	Jeśli będziesz jadł zbyt dużo, staniesz się gruby.
How are the others?	Jak mają się inni?
A high forehead is indicative of great mental power.	Wysokie czoło znamionuje znaczną inteligencję.
You don't have to answer this question.	Nie musisz odpowiadać na to pytanie.
Tom might be late today.	Tom może się dzisiaj spóźnić.
I can't believe that you wouldn't enjoy playing cards with me and my friends.	Nie wierzę, że nie będziesz się dobrze bawić grając w karty ze mną i z przyjaciółmi.
That doesn't make sense.	To nie ma sensu.
I don't like the way Tom is acting.	Nie podoba mi się sposób zachowania Toma.
I could help you with it.	Mogę ci w tym pomóc.
Try telling Tom that.	Spróbuj powiedzieć to Tomowi.
Tom is plotting something.	Tom coś knuje.
If you want to sound like a native speaker, you must be willing to practice saying the same sentence over and over in the same way that banjo players practice the same phrase over and over until they can play it correctly and at the desired tempo.	Jeśli chcesz mówić jak rodzimy użytkownik, musisz powtarzać to samo zdanie raz za razem - tak jak grający na banjo ćwiczą tę samą melodię, aż będą w stanie zagrać ją w pożądanym tempie.
Aren't you impressed?	Nie jesteś pod wrażeniem?
We're creative.	Jesteśmy kreatywni.
Give me a blank sheet of paper.	Daj mi czystą kartkę papieru.
People who drink alcoholic beverages are not allowed to enter.	Osobom spożywającym napoje alkoholowe wstęp wzbroniony.
He promised not to smoke.	Obiecał nie palić.
When will you complete the preparations?	Kiedy zakończysz przygotowania?
We had an examination in mathematics today.	Dziś mieliśmy egzamin z matematyki.
Did he propose to you?	Czy on ci się oświadczył?
The game was put off until next week.	Mecz odłożono do przyszłego tygodnia.
It tastes very good, doesn't it?	Smakuje bardzo dobrze, nie?
What's your favorite leisure activity?	Co jest twoim ulubionym sposobem spędzania wolnego czasu?
He has been playing tennis since this morning.	On od rana gra w tenisa.
Tom likes the way Mary sings.	Tom lubi, jak Mary śpiewa.
He will be very busy next month.	W przyszłym miesiącu będzie zajęty.
If you don't want to give a speech, you don't have to.	Jeśli nie chcesz wygłosić przemowy, to nie musisz.
He was born on July 28th, 1888.	Urodził się 28 lipca 1888 roku.
You're talkative.	Jesteś rozmowny.
He can swim.	On umie pływać.
Tom was too stunned to say anything.	Tom był zbyt zszokowany żeby coś powiedzieć.
Don't look into my room.	Nie zaglądaj do mojego pokoju.
I hate Tom's parents.	Nienawidzę rodziców Toma.
Why are you mad at me?	Dlaczego jesteś na mnie zły?
My friend has had three jobs in a year; he never sticks to anything for long.	Mój kolega zmienia pracę trzy razy do roku. Nigdy się dłużej w nic nie angażuje.
Come on Tuesday if possible.	Przyjdź we wtorek, jeśli to możliwe.
I know that look.	Znam to spojrzenie.
China is a huge country.	Chiny to olbrzymi kraj.
The scholarship made it possible for him to continue his education.	Stypendium umożliwiło mu dalszą naukę.
People love freedom.	Ludzie kochają wolność.
I would've told you, but Tom made me promise not to tell.	Powiedziałbym ci, ale Tom kazał mi obiecać nie mówić.
Tom told me he doesn't like Mary.	Tom powiedział mi, że nie lubi Mary.
I'll call you later.	Zadzwonię do ciebie później.
The ship will cross the equator tonight.	Statek minie dziś równik.
Write down the medicine you need on this piece of paper.	Zapisz na tej kartce leki, których potrzebujesz.
Thank you.	Dziękuję!
I can't find my watch.	Nie mogę znaleźć mojego zegarka.
These are my parents.	To są moi rodzice.
I regret that I didn't go there.	Żałuję, że tam nie poszedłem.
Tom will be a bit late.	Tom trochę się spóźni.
If I were to study French, I'd prefer to study with a native French speaker.	Gdybym miał uczyć się francuskiego, wolałbym uczyć się z rodzimym użytkownikiem francuszczyzny.
That's mine. I don't know where yours is.	To jest moje. Nie wiem, gdzie jest twoje.
Let's chat.	Porozmawiajmy.
You should smoke less.	Powinieneś mniej palić.
Are you angry with me?	Jesteś na mnie zły?
I lost my key.	Zgubiłem mój klucz.
I don't know what more I can say.	Nie wiem, co jeszcze mogę powiedzieć.
Tom was stabbed.	Tom został zasztyletowany.
I saw a plane.	Widziałem samolot.
Everybody loves it.	Każdy to kocha.
What a nice idea!	Dobry pomysł!
We used to do that together.	Robiliśmy to razem.
I don't trust myself.	Nie ufam sobie.
I don't like scary movies.	Nie lubię horrorów.
I used to tell Tom everything.	Kiedyś mówiłem Tomowi wszystko.
I don't have to say anything to Tom.	Nie muszę nic mówić Tomowi.
I'm no longer angry at you.	Nie jestem już na ciebie zły.
Tom and Mary are still in Boston.	Tom i Mary są wciąż w Bostonie.
If you don't want to sing, you don't have to.	Jeśli nie chcesz śpiewać, to nie musisz.
Tom is staying.	Tom zostaje.
Tom took out a pencil and started to write.	Tom wyjął ołówek i zaczął pisać.
They're on good terms with their neighbors.	Są w dobrych stosunkach z sąsiadami.
It's not you that I'm worried about.	To nie o ciebie się martwię.
You don't need to call me.	Nie musisz do mnie dzwonić.
Tom failed to do what he said he'd do.	Tomowi nie udało się zrobić tego, co powiedział, że zrobi.
I don't like eating alone.	Nie lubię jeść sam.
Who pays you?	Kto ci płaci?
I waited three hours.	Czekałem trzy godziny.
Tom is scheduled to come to Boston next week.	Tom ma w przyszłym tygodniu zaplanowany przyjazd do Bostonu.
I quit smoking and drinking.	Rzuciłem palenie i picie.
Everyone died.	Wszyscy zmarli.
How did you make it?	Jak to zrobiłeś?
I'm old.	Jestem stary.
Casualties were inevitable.	Ofiary były nieuniknione.
I'm sure it's Tom's fault.	Jestem pewien, że to wina Toma.
I've been extremely busy.	Byłem bardzo zajęty.
I'm sure your efforts will result in success.	Jestem pewny, że twoje wysiłki przyniosą sukces.
The museum is closed now.	Muzeum jest teraz zamknięte.
Tom has known Mary since she was a little girl.	Tom zna Mary od maleńkości.
We could talk about our hobbies.	Moglibyśmy porozmawiać o naszych zainteresowaniach.
Tom is just being honest.	Tom po prostu jest szczery.
Did you come here by train or by bus?	Przyjechał pan tu pociągiem czy autobusem?
At which university are you studying?	Na którym uniwersytecie studiujesz?
I missed supper.	Nie zjadłem kolacji.
How about having dinner together?	Co byś powiedział na wspólny obiad?
He was in the hot seat.	Był w tarapatach.
There used to be a large cedar tree there.	Kiedyś było tam wielkie drzewo cedrowe.
Tom said you were almost killed.	Tom powiedział, że prawie cię zabito.
Tom doesn't like working here.	Tom nie lubi tutaj pracować.
Do you think things would've gone differently if I'd been here?	Myślisz, że sprawy inaczej by się potoczyły, gdybym tu był?
Is this your daughter?	To jest twoja córka?
It is a brand new product.	To zupełnie nowy produkt.
It was a terrible day.	To był okropny dzień.
That bread is hard.	Ten chleb jest twardy.
I guess I should get home to my wife.	Chyba muszę iść do domu, do żony.
Can you do it?	Czy możesz to zrobić?
Japan is one of the greatest economic powers in the world.	Japonia jest jedną z gospodarczych potęg świata.
My nails are too short.	Moje paznokcie są za krótkie.
One of the students didn't come today.	Jeden ze studentów dziś nie przyszedł.
We've run out of money.	Nie mamy już pieniędzy.
It wasn't mine.	To nie było moje.
Someone must have left the water running.	Ktoś musiał zostawić niedokręconą wodę.
It is true that he is young, but he is clever.	To prawda, że jest młody, ale za to bystry.
Is there a clothing store near here?	Jest tu gdzieś sklep odzieżowy?
I'll try to say it in French.	Spróbuję powiedzieć to po francusku.
That's a pretty strange-looking bracelet you're wearing.	Ależ masz dziwną bransoletkę!
Breathe from your belly.	Oddychaj przeponą brzuszną.
Tom has enough money to do whatever he wants to do.	Tom ma wystarczająco pieniędzy, aby robić to, co mu się żywnie podoba.
We can't let these flowers die. Please water them.	Nie możemy pozwolić tym kwiatom zwiędnąć. Podlej je, proszę.
He told me an interesting story.	Opowiedział mi ciekawą historię.
There's been some trouble.	Było trochę problemów.
There isn't time to explain.	Nie ma czasu na wyjaśnienia.
I like fish.	Lubię ryby.
Tom wasn't very good at reading between the lines.	Tom nie był zbyt dobry w czytaniu pomiędzy wierszami.
Tom is the spitting image of his father.	Tom i jego ojciec są podobni jak dwie krople wody.
Brad Pitt is an actor.	Brad Pitt jest aktorem.
I can sing.	Mogę śpiewać.
I checked my bags.	Zarejestrowałem swój bagaż.
I'll walk.	Będę chodzić.
I don't remember my grandmother's face exactly.	Nie pamiętam zbyt dokładnie twarzy mojej babci.
He is angry with me.	Gniewa się na mnie.
No one knows the reason.	Nikt nie zna powodu.
Let's play basketball after school.	Zagrajmy w koszykówkę po szkole.
I want to find out why Tom hit Mary.	Chcę się dowiedzieć, dlaczego Tom uderzył Mary.
We looked out the window, but we didn't see anything.	Wyjrzeliśmy przez okno, ale nic nie zobaczyliśmy.
Let's just give it a little more time.	Dajmy temu tylko trochę więcej czasu.
They don't trust each other.	Nie ufają sobie.
You should take care of yourself.	Powinieneś zadbać o siebie.
Many parents think it's important for their children to eat before 8:00 p.m.	Wielu rodziców uważa, że dzieci nie powinny jeść po 20:00.
Where's Tom today?	Gdzie jest dzisiaj Tom?
Tom will appear on TV.	Tom pojawi się w telewizji.
Tom, my roommate is a very nice guy.	Tom, mój współlokator to naprawdę spoko koleś.
Tom wanted to do everything himself.	Tom chciał zrobić wszystko sam.
Tom isn't the enemy.	Wrogiem nie jest Tom.
The enemy attacked us at night.	Wróg zaatakował nas w nocy.
The suspect wanted to avoid being arrested.	Podejrzany chciał uniknąć aresztowania.
His speech lasted three hours.	Jego przemówienie trwało trzy godziny.
The road runs parallel to the river.	Droga biegnie równolegle do rzeki.
Dutch is closely related to German.	Holenderski jest blisko spokrewniony z niemieckim.
It happens more often than you'd think.	To się zdarza częściej, niż mógłbyś pomyśleć.
No one saw that.	Nikt tego nie widział.
I've got a better idea.	Mam lepszy pomysł.
I couldn't let that happen.	Nie mógłbym na to pozwolić.
I easily found his office.	Bez trudu znalazłem jego biuro.
This sounds very interesting.	To brzmi bardzo interesująco.
He is strong as a horse.	On jest silny jak koń.
I hate lying to Tom.	Nienawidzę okłamywać Toma.
Let's find out what else Tom wants.	Dowiedzmy się, czego jeszcze chce Tom.
I don't need you to wait for me.	Nie musisz na mnie czekać.
He thinks that he is a great poet.	Uważa się za świetnego poetę.
Do you really need to ask the question to know the answer?	Czy koniecznie musisz zadać pytanie, by znać odpowiedź?
Language and culture can't be separated.	Nie da się oddzielić języka od kultury.
Can you feel it?	Czujesz to?
I had no trouble finding his office.	Nie miałam problemu ze znalezieniem jego biura.
Give me another reason.	Daj mi inny powód.
Are you busy on Sunday afternoon?	Czy jesteś zajęty w niedzielę po południu?
She transferred from the bus to the subway.	Przesiadła się z autobusu do metra.
You shouldn't go out.	Nie powinieneś wychodzić.
Some politicians are wolves in sheep's clothing.	Niektórzy politycy to wilki w owczej skórze.
Something terrible must've happened.	Coś strasznego musiało się stać.
Lincoln agreed that all slaves should be freed.	Lincoln zgadzał się, że wszyscy niewolnicy powinni być uwolnieni.
The scene was shown in slow motion.	Scena została pokazana w zwolnionym tempie.
Someone's calling.	Ktoś dzwoni.
Tom isn't conscious.	Tom nie jest świadomy.
Everyone noticed.	Wszyscy zauważyli.
I'd appreciate it if you'd help me.	Byłbym wdzięczny gdybyś mi pomógł.
Tom just died.	Tom właśnie umarł.
Is that seriously what you think?	Naprawdę tak myślisz?
What did you eat in the morning?	Co jadłeś rano?
She goes to the supermarket every three days.	Ona chodzi do supermarketu co trzy dni.
How was the meeting?	Jak tam spotkanie?
At first, I mistook you for your brother.	Na początku wziąłem cię za twojego brata.
She was advised by him to be more careful.	Dostała od niego radę, by być ostrożniejszą.
Tom can't hurt me.	Tom nic mi nie może zrobić.
Tom found the office door locked.	Tom zastał zamknięte drzwi do biura.
I need your advice.	Potrzebuję twojej rady.
I'm up in the attic.	Jestem na strychu.
Tom was standing just behind me.	Tom stał tuż za mną.
How soon can you start?	Jak szybko możesz zacząć?
We're getting rid of it.	Pozbywamy się tego.
He paid with a credit card.	Zapłacił kartą kredytową.
The new tax system comes into effect next year.	Nowe podatki wchodzą w życie w przyszłym roku.
We do this every night.	Robimy to co noc.
I thought that you weren't coming back.	Myślałem, że nie wracasz.
It was a very beautiful flower.	To był przepiękny kwiat.
She's an individualist.	Ona jest indywidualistką.
She's my classmate.	Ona jest w mojej klasie.
Is he tall?	Czy on jest wysoki?
That's a really great idea.	To naprawdę świetny pomysł.
There were few colleges to educate women.	Niewiele było szkół dla kobiet.
I can't help admiring his talent.	Nie mogę się powstrzymać przed podziwianiem jego talentu.
He excels in many sports.	Wymiata w wielu sportach.
Tom and Mary took a walk on the beach.	Tom i Mary przeszli się po plaży.
I have a job for you.	Mam dla ciebie pracę.
Do you have something you want to say?	Masz coś do powiedzenia?
I had to leave.	Musiałam wyjść.
We'll be hungry.	Będziemy głodne.
I swim almost every day in the summer.	Latem pływam prawie codziennie.
I don't understand them.	Nie rozumiem ich.
Tom poured milk on his cereal.	Tom wlał mleko do płatków.
What platform does the train for Boston leave from?	Z którego peronu odjeżdża pociąg do Bostonu?
The king went hunting this morning.	Król poszedł rano na polowanie.
Who taught you French?	Kto cię nauczył francuskiego?
We must do it quickly.	Musimy to zrobić szybko.
I hope to see you again.	Mam nadzieję, że się jeszcze zobaczymy.
Ignore it.	Nie zwracaj na to uwagi.
Who is that guy?	Kim jest ten facet?
We can't take a chance.	Nie możemy ryzykować.
Tom has absolutely no idea what he's supposed to do.	Tom nie ma zielonego pojęcia, co ma zrobić.
Tell me what you're thinking.	Powiedz, o czym myślisz.
You do speak French, don't you?	Ty mówisz po francusku, prawda?
Close your eyes, and count to ten.	Zamknij oczy i licz do dziesięciu.
You must do it by the end of this week.	Masz czas do końca tego tygodnia na zrobienie tego.
How many offers did you get?	Ile propozycji dostałeś?
That he is a genius is clear to everyone.	To, że jest geniuszem, jest jasne dla każdego.
Words cannot convey my feelings.	Słowa nie mogą wyrazić moich uczuć.
Tom isn't the one who taught me how to play this song.	Tom nie jest tym, który nauczył mnie grać tę piosenkę.
If there's anything I can do, just let me know.	Jeśli jest cokolwiek, co mogę zrobić, po prostu daj mi znać.
When did Tom have time to do that?	Kiedy Tom miał czas to zrobić?
Hurry up! We'll be late.	Pospiesz się, bo się spóźnimy!
You have to take the first step.	Musisz zrobić pierwszy krok.
I don't know where Tom is.	Nie wiem, gdzie jest Tom.
I don't need anyone anymore.	Nikogo już nie potrzebuję.
Tom went.	Tom poszedł.
Are you going to move in?	Zamierzasz wejść?
